project_name,continent,country,country_code,ecosystem,activity,activity_type,price_type,project_size_ha,project_size_filter,abatement_potential,total_cost_npv,total_cost,capex_npv,capex,opex_npv,opex,cost_per_tco2e,cost_per_tco2e_npv,feasibility_analysis_npv,feasibility_analysis,conservation_planning_npv,conservation_planning,data_collection_npv,data_collection,community_representation_npv,community_representation,blue_carbon_project_planning_npv,blue_carbon_project_planning,establishing_carbon_rights_npv,establishing_carbon_rights,validation_npv,validation,implementation_labor_npv,implementation_labor,monitoring_npv,maintenance_npv,monitoring,maintenance,monitoring_maintenance_npv,monitoring_maintenance,community_benefit_npv,community_benefit,carbon_standard_fees_npv,carbon_standard_fees,baseline_reassessment_npv,baseline_reassessment,mrv_npv,mrv,long_term_project_operating_npv,long_term_project_operating,initial_price_assumption,leftover_after_opex,leftover_after_opex_NPV,total_revenue,total_revenu_npv,credits_issued
United States Mangrove Restoration Hydrology Large,North America,United States,USA,Mangrove,Restoration,Hydrology,Opex breakeven,1000,Large,166589,119153253,145760853,94015207,111860567,25138046,33900287,467,467,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,92462318,110204000,600463,21374059,994000,27539980,21974522,28533980,1256902,2183292,29870,51015,75812,120000,223062,400000,1577877,2612000,144.3943288,9765549,0,43665836,25138046,255077
United States Mangrove Restoration Hybrid Large,North America,United States,USA,Mangrove,Restoration,Hybrid,Opex breakeven,1000,Large,166589,111198051,136093895,87616913,104234567,23581138,31859329,436,436,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,86064024,102578000,600463,19894997,994000,25634242,20495460,26628242,1179057,2048071,29870,51015,75812,120000,223062,400000,1577877,2612000,135.4513649,9102094,0,40961423,23581138,255077
United States Mangrove Restoration Planting Large,North America,United States,USA,Mangrove,Restoration,Planting,Market price,1000,Large,166589,18865873,23856103,13413981,15793567,5451892,8062537,92,92,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,11861092,14137000,600463,2741870,994000,3532836,3342333,4526836,208912,362888,23896,40812,75812,120000,223062,400000,1577877,2612000,30,-804772,-1273659,7257765,4178233,204061
United States Mangrove Restoration Hydrology Large,North America,United States,USA,Mangrove,Restoration,Hydrology,Market price,1000,Large,166589,118157490,144031172,94015207,111860567,24142283,32170605,463,463,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,92462318,110204000,600463,21374059,994000,27539980,21974522,28533980,261140,453610,29870,51015,75812,120000,223062,400000,1577877,2612000,30,-23098399,-18919492,9072206,5222791,255077
United States Mangrove Restoration Hybrid Large,North America,United States,USA,Mangrove,Restoration,Hybrid,Market price,1000,Large,166589,110280133,134499434,87616913,104234567,22663221,30264868,432,432,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,86064024,102578000,600463,19894997,994000,25634242,20495460,26628242,261140,453610,29870,51015,75812,120000,223062,400000,1577877,2612000,30,-21192662,-17440430,9072206,5222791,255077
United States Mangrove Conservation Small,North America,United States,USA,Mangrove,Conservation,,Opex breakeven,4000,Small,1089327,4119086,6001948,1475926,1576567,2643159,4425381,14,14,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,132158,239152,33788,60228,75812,120000,223062,400000,1577877,2612000,13.19896761,357668,0,4783049,2643159,301142
United States Mangrove Conservation Small,North America,United States,USA,Mangrove,Conservation,,Market price,4000,Small,1089327,4287310,6306366,1475926,1576567,2811384,4729799,14,14,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,300382,543571,33788,60228,75812,120000,223062,400000,1577877,2612000,30,6141617,3196266,10871416,6007650,301142
United States Mangrove Conservation Medium,North America,United States,USA,Mangrove,Conservation,,Opex breakeven,20000,Medium,1089327,4261350,6255733,1475926,1576567,2785423,4679167,3,3,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,139271,252024,168939,301142,75812,120000,223062,400000,1577877,2612000,2.781876688,361323,0,5040490,2785423,1505711
United States Mangrove Conservation Medium,North America,United States,USA,Mangrove,Conservation,,Market price,20000,Medium,1089327,5623991,8721563,1475926,1576567,4148065,7144996,4,4,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,1501912,2717854,168939,301142,75812,120000,223062,400000,1577877,2612000,30,47212084,25890183,54357080,30038248,1505711
United States Mangrove Conservation Large,North America,United States,USA,Mangrove,Conservation,,Opex breakeven,40000,Large,1089327,5896354,8751242,1885803,2013083,4010551,6738158,2,2,100000,100000,786949,833833,153925,160000,526574,569250,88900,100000,185006,200000,44450,50000,0,0,1200926,0,1988000,0,1200926,1988000,200528,362874,337878,602285,75812,120000,223062,400000,1972346,3265000,2.002722057,519317,0,7257475,4010551,3011423
United States Mangrove Conservation Large,North America,United States,USA,Mangrove,Conservation,,Market price,40000,Large,1089327,8699651,13824076,1885803,2013083,6813848,11810993,3,3,100000,100000,786949,833833,153925,160000,526574,569250,88900,100000,185006,200000,44450,50000,0,0,1200926,0,1988000,0,1200926,1988000,3003825,5435708,337878,602285,75812,120000,223062,400000,1972346,3265000,30,96903168,53262649,108714161,60076497,3011423
United States Seagrass Restoration Planting Small,North America,United States,USA,Seagrass,Restoration,Planting,Opex breakeven,100,Small,101104,8364115,10833950,4918563,5449065,3445552,5384886,4144,4144,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,3442637,3872498,600463,795817,994000,967737,1396280,1961737,172278,290745,244,404,75812,120000,223062,400000,1577877,2612000,2455.270483,430010,0,5814896,3445552,2018
United States Seagrass Restoration Planting Small,North America,United States,USA,Seagrass,Restoration,Planting,Market price,100,Small,101104,8193943,10546758,4918563,5449065,3275380,5097693,4060,4060,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,3442637,3872498,600463,795817,994000,967737,1396280,1961737,2105,3552,244,404,75812,120000,223062,400000,1577877,2612000,30,-5026643,-3233280,71050,42100,2018
United States Seagrass Restoration Planting Medium,North America,United States,USA,Seagrass,Restoration,Planting,Opex breakeven,500,Medium,101104,25074881,30478090,18358086,20939056,6716795,9539034,2549,2549,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,16882160,19362490,600463,3902566,994000,4838686,4503029,5832686,335840,572380,1176,1968,75812,120000,223062,400000,1577877,2612000,988.0877748,1908566,0,11447600,6716795,9838
United States Seagrass Restoration Planting Medium,North America,United States,USA,Seagrass,Restoration,Planting,Market price,500,Medium,101104,24749238,29923088,18358086,20939056,6391152,8984032,2516,2516,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,16882160,19362490,600463,3902566,994000,4838686,4503029,5832686,10197,17378,1176,1968,75812,120000,223062,400000,1577877,2612000,30,-8636464,-6187219,347568,203933,9838
United States Seagrass Restoration Planting Large,North America,United States,USA,Seagrass,Restoration,Planting,Opex breakeven,1000,Large,101104,44559457,55101980,34043555,40381546,10515902,14720434,2387,2387,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,32490666,38724979,600463,7510707,994000,9677372,8111170,10671372,525795,913328,2186,3734,75812,120000,223062,400000,1577877,2612000,825.3612071,3546127,0,18266561,10515902,18668
United States Seagrass Restoration Planting Large,North America,United States,USA,Seagrass,Restoration,Planting,Market price,1000,Large,101104,44052773,54221849,34043555,40381546,10009218,13840303,2360,2360,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,32490666,38724979,600463,7510707,994000,9677372,8111170,10671372,19111,33197,2186,3734,75812,120000,223062,400000,1577877,2612000,30,-13176355,-9626989,663948,382229,18668
United States Seagrass Conservation Small,North America,United States,USA,Seagrass,Conservation,,Opex breakeven,400,Small,1612314,4084355,5950775,1475926,1576567,2608429,4374209,552,552,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,130421,246728,794,1480,75812,120000,223062,400000,1577877,2612000,544.8562738,560359,0,4934568,2608429,7402
United States Seagrass Conservation Small,North America,United States,USA,Seagrass,Conservation,,Market price,400,Small,1612314,3961115,5717632,1475926,1576567,2485188,4141065,535,535,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,7181,13585,794,1480,75812,120000,223062,400000,1577877,2612000,30,-3869366,-2341567,271699,143621,7402
United States Seagrass Conservation Medium,North America,United States,USA,Seagrass,Conservation,,Opex breakeven,2000,Medium,1612314,4087698,5957013,1475926,1576567,2611772,4380447,110,110,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,130589,247045,3970,7402,75812,120000,223062,400000,1577877,2612000,109.1109052,560444,0,4940891,2611772,37011
United States Seagrass Conservation Medium,North America,United States,USA,Seagrass,Conservation,,Market price,2000,Medium,1612314,3993015,5777894,1475926,1576567,2517088,4201327,108,108,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,35905,67925,3970,7402,75812,120000,223062,400000,1577877,2612000,30,-2842831,-1798982,1358496,718106,37011
United States Seagrass Conservation Large,North America,United States,USA,Seagrass,Conservation,,Opex breakeven,4000,Large,1612314,4091876,5964811,1475926,1576567,2615950,4388244,55,55,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,130798,247440,7939,14804,75812,120000,223062,400000,1577877,2612000,54.64273407,560552,0,4948796,2615950,74022
United States Seagrass Conservation Large,North America,United States,USA,Seagrass,Conservation,,Market price,4000,Large,1612314,4032889,5853221,1475926,1576567,2556963,4276654,54,54,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,71811,135850,7939,14804,75812,120000,223062,400000,1577877,2612000,30,-1559662,-1120752,2716992,1436211,74022
United States Salt marsh Restoration Planting Small,North America,United States,USA,Salt marsh,Restoration,Planting,Opex breakeven,100,Small,169246,6774878,9010731,3640124,4010994,3134754,4999736,1586,1586,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,2164197,2434428,600463,500287,994000,608363,1100750,1602363,156738,264519,516,854,75812,120000,223062,400000,1577877,2612000,1055.531084,290640,0,5290376,3134754,4271
United States Salt marsh Restoration Hydrology Small,North America,United States,USA,Salt marsh,Restoration,Hydrology,Opex breakeven,100,Small,169246,25060259,29990001,18346775,20553977,6713484,9436024,4694,4694,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,16870849,18977410,600463,3899951,994000,4742455,4500414,5736455,335674,566502,645,1068,75812,120000,223062,400000,1577877,2612000,1808.445819,1894006,0,11330030,6713484,5339
United States Salt marsh Restoration Hybrid Small,North America,United States,USA,Salt marsh,Restoration,Hybrid,Opex breakeven,100,Small,169246,23608738,28324640,17179330,19240760,6429407,9083880,4422,4422,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,15703404,17664194,600463,3630079,994000,4414282,4230542,5408282,321470,542530,645,1068,75812,120000,223062,400000,1577877,2612000,1731.922717,1766728,0,10850608,6429407,5339
United States Salt marsh Restoration Planting Small,North America,United States,USA,Salt marsh,Restoration,Planting,Market price,100,Small,169246,6622595,8753730,3640124,4010994,2982471,4742736,1551,1551,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,2164197,2434428,600463,500287,994000,608363,1100750,1602363,4455,7518,516,854,75812,120000,223062,400000,1577877,2612000,30,-4592374,-2893376,150362,89095,4271
United States Salt marsh Restoration Hydrology Small,North America,United States,USA,Salt marsh,Restoration,Hydrology,Market price,100,Small,169246,24730153,29432897,18346775,20553977,6383378,8878920,4632,4632,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,16870849,18977410,600463,3899951,994000,4742455,4500414,5736455,5568,9398,645,1068,75812,120000,223062,400000,1577877,2612000,30,-8690968,-6272009,187952,111369,5339
United States Salt marsh Restoration Hybrid Small,North America,United States,USA,Salt marsh,Restoration,Hybrid,Market price,100,Small,169246,23292836,27791508,17179330,19240760,6113505,8550747,4363,4363,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,15703404,17664194,600463,3630079,994000,4414282,4230542,5408282,5568,9398,645,1068,75812,120000,223062,400000,1577877,2612000,30,-8362795,-6002136,187952,111369,5339
United States Salt marsh Restoration Planting Medium,North America,United States,USA,Salt marsh,Restoration,Planting,Opex breakeven,500,Medium,169246,17281482,21363185,12088817,13748704,5192665,7614481,830,830,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,10612890,12172138,600463,2453330,994000,3041817,3053793,4035817,259633,442499,2489,4164,75812,120000,223062,400000,1577877,2612000,360.953119,1235506,0,8849987,5192665,20821
United States Salt marsh Restoration Hydrology Medium,North America,United States,USA,Salt marsh,Restoration,Hydrology,Opex breakeven,500,Medium,169246,106950167,126245102,84207973,96463619,22742194,29781484,4109,4109,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,82732047,94887052,600463,19124760,994000,23712274,19725223,24706274,1137110,1938004,3111,5205,75812,120000,223062,400000,1577877,2612000,1264.686401,8978600,0,38760084,22742194,26026
United States Salt marsh Restoration Hybrid Medium,North America,United States,USA,Salt marsh,Restoration,Hybrid,Opex breakeven,500,Medium,169246,99832131,117919443,78483003,89897535,21349128,28021908,3836,3836,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,77007077,88320968,600463,17801347,994000,22071410,18401810,23065410,1067456,1819292,3111,5205,75812,120000,223062,400000,1577877,2612000,1187.218405,8363938,0,36385846,21349128,26026
United States Salt marsh Restoration Planting Medium,North America,United States,USA,Salt marsh,Restoration,Planting,Market price,500,Medium,169246,17043427,20957463,12088817,13748704,4954611,7208759,819,819,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,10612890,12172138,600463,2453330,994000,3041817,3053793,4035817,21579,36778,2489,4164,75812,120000,223062,400000,1577877,2612000,30,-6473207,-4523032,735552,431579,20821
United States Salt marsh Restoration Hydrology Medium,North America,United States,USA,Salt marsh,Restoration,Hydrology,Market price,500,Medium,169246,105840031,124353070,84207973,96463619,21632058,27889451,4067,4067,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,82732047,94887052,600463,19124760,994000,23712274,19725223,24706274,26974,45972,3111,5205,75812,120000,223062,400000,1577877,2612000,30,-26970012,-21092584,919439,539474,26026
United States Salt marsh Restoration Hybrid Medium,North America,United States,USA,Salt marsh,Restoration,Hybrid,Market price,500,Medium,169246,98791648,116146122,78483003,89897535,20308645,26248587,3796,3796,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,77007077,88320968,600463,17801347,994000,22071410,18401810,23065410,26974,45972,3111,5205,75812,120000,223062,400000,1577877,2612000,30,-25329148,-19769171,919439,539474,26026
United States Salt marsh Restoration Planting Large,North America,United States,USA,Salt marsh,Restoration,Planting,Opex breakeven,1000,Large,169246,29560530,36876937,21977993,26000842,7582537,10876095,748,748,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,20425104,24344275,600463,4721571,994000,6083634,5322034,7077634,379127,658559,4626,7901,75812,120000,223062,400000,1577877,2612000,281.2154281,2295089,0,13171184,7582537,39506
United States Salt marsh Restoration Hydrology Large,North America,United States,USA,Salt marsh,Restoration,Hydrology,Opex breakeven,1000,Large,169246,202132914,246583085,160775363,191430670,41357550,55152415,4093,4093,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,159222474,189774104,600463,36806677,994000,47424549,37407140,48418549,2067878,3591990,5783,9877,75812,120000,223062,400000,1577877,2612000,1227.070115,16687379,0,71839794,41357550,49383
United States Salt marsh Restoration Hybrid Large,North America,United States,USA,Salt marsh,Restoration,Hybrid,Opex breakeven,1000,Large,169246,188433852,229936336,149757337,178298504,38676516,51637833,3816,3816,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,148204448,176641937,600463,34259693,994000,44142820,34860156,45136820,1933826,3359136,5783,9877,75812,120000,223062,400000,1577877,2612000,1147.524359,15544892,0,67182725,38676516,49383
United States Salt marsh Restoration Planting Large,North America,United States,USA,Salt marsh,Restoration,Planting,Market price,1000,Large,169246,29221848,36288632,21977993,26000842,7243856,10287791,740,740,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,20425104,24344275,600463,4721571,994000,6083634,5322034,7077634,40445,70255,4626,7901,75812,120000,223062,400000,1577877,2612000,30,-8882692,-6434953,1405099,808903,39506
United States Salt marsh Restoration Hydrology Large,North America,United States,USA,Salt marsh,Restoration,Hydrology,Market price,1000,Large,169246,200115592,243078914,160775363,191430670,39340229,51648244,4052,4052,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,159222474,189774104,600463,36806677,994000,47424549,37407140,48418549,50556,87819,5783,9877,75812,120000,223062,400000,1577877,2612000,30,-49891870,-38329100,1756374,1011129,49383
United States Salt marsh Restoration Hybrid Large,North America,United States,USA,Salt marsh,Restoration,Hybrid,Market price,1000,Large,169246,186550583,226665019,149757337,178298504,36793246,48366515,3778,3778,100000,100000,629559,667067,153925,160000,351049,379500,88900,100000,185006,200000,44450,50000,148204448,176641937,600463,34259693,994000,44142820,34860156,45136820,50556,87819,5783,9877,75812,120000,223062,400000,1577877,2612000,30,-46610141,-35782117,1756374,1011129,49383
United States Salt marsh Conservation Small,North America,United States,USA,Salt marsh,Conservation,,Opex breakeven,800,Small,3622232,4086292,5955618,1475926,1576567,2610365,4379051,166,166,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,130518,248115,2634,4936,75812,120000,223062,400000,1577877,2612000,164.041173,583258,0,4962309,2610365,24680
United States Salt marsh Conservation Small,North America,United States,USA,Salt marsh,Conservation,,Market price,800,Small,3622232,3979643,5752878,1475926,1576567,2503716,4176312,161,161,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,23869,45376,2634,4936,75812,120000,223062,400000,1577877,2612000,30,-3268800,-2026330,907512,477386,24680
United States Salt marsh Conservation Medium,North America,United States,USA,Salt marsh,Conservation,,Opex breakeven,4000,Medium,3622232,4097381,5976416,1475926,1576567,2621455,4399850,33,33,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,131073,249169,13169,24680,75812,120000,223062,400000,1577877,2612000,32.94761155,583540,0,4983390,2621455,123401
United States Salt marsh Conservation Medium,North America,United States,USA,Salt marsh,Conservation,,Market price,4000,Medium,3622232,4085655,5954125,1475926,1576567,2609729,4377558,33,33,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,119347,226878,13169,24680,75812,120000,223062,400000,1577877,2612000,30,160000,-222799,4537558,2386930,123401
United States Salt marsh Conservation Large,North America,United States,USA,Salt marsh,Conservation,,Opex breakeven,8000,Large,3622232,4111243,6002414,1475926,1576567,2635317,4425847,17,17,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,131766,250487,26337,49360,75812,120000,223062,400000,1577877,2612000,16.56091637,583894,0,5009741,2635317,246801
United States Salt marsh Conservation Large,North America,United States,USA,Salt marsh,Conservation,,Market price,8000,Large,3622232,4218170,6205683,1475926,1576567,2742244,4629116,17,17,100000,100000,629559,667067,76963,80000,351049,379500,88900,100000,185006,200000,44450,50000,0,0,600463,0,994000,0,600463,994000,238693,453756,26337,49360,75812,120000,223062,400000,1577877,2612000,30,4446000,2031616,9075116,4773860,246801
Indonesia Mangrove Restoration Planting Small,Asia,Indonesia,IDN,Mangrove,Restoration,Planting,Opex breakeven,100,Small,6033817,3043810,4208816,1465898,1571800,1577912,2637016,81,81,50000,50000,629559,667067,76963,80000,268724,284733,88900,100000,129504,140000,44450,50000,177799,200000,181226,41101,300000,49980,222327,349980,788956,1331484,4562,7552,75812,120000,167296,300000,318958,528000,60.09537555,25951,0,2662967,1577912,37760
Indonesia Mangrove Restoration Hydrology Small,Asia,Indonesia,IDN,Mangrove,Restoration,Hydrology,Opex breakeven,100,Small,6033817,3293092,4516005,1634808,1761800,1658285,2754205,70,70,50000,50000,629559,667067,76963,80000,268724,284733,88900,100000,129504,140000,44450,50000,346709,390000,181226,80147,300000,97461,261373,397461,829142,1399304,5703,9440,75812,120000,167296,300000,318958,528000,50.52512698,44404,0,2798609,1658285,47200
